ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
545be6f8-8796-496a-ac87-9919542f724e,2004-02-18,,999-22-9579,,,,Noble66,Hintz995,,,,white,french,M,Dell Groveship,740 Schmidt Heights Apt 24 Apple Valley Minnesota 55068 US
7e354bf5-99c6-413d-b37c-b779dd103583,1996-05-28,,999-93-9114,S99976555,X29508953X,Mr.,Colin861,Barrows492,,,,white,polish,M,St. Louis Park,724 Anderson Route Apt 49 Dovership Minnesota  US
f86ec82d-004a-46df-8cdb-4226abd6886d,2014-11-07,,999-84-5231,,,,Ashley34,Becker968,,,,white,german,F,Huntership,775 Prosacco Ville Minneapolis Minnesota 55401 US
556e6a09-12c0-40fc-8f68-9989df047485,1959-10-29,2004-10-21,999-79-5940,S99947417,X40810024X,Mr.,Randolph418,Runolfsson901,,,M,white,greek,M,St. Cloud,577 Prohaska Drive Unit 73 Lino Lakes Minnesota 55014 US
58ec9442-891c-4855-9008-3e8d700eb5b8,2004-06-03,,999-48-8276,,,,Lili474,Johns824,,,,white,german,F,Bloomington,303 Mertz Esplanade Edina Minnesota 55343 US
9e96975e-60fa-46a6-9a51-c2f771ae664e,2010-12-01,,999-45-6620,,,,Latrina689,Gaylord332,,,,asian,chinese,F,Ada,413 Shanahan Way Apt 74 Willernie Minnesota 55090 US
235c05f1-80fe-4be1-86fe-05f0aa6f1a35,2008-11-18,,999-25-8022,,,,Delana41,Reynolds644,,,,white,irish,F,Eagan,216 Stiedemann Manor Minneapolis Minnesota 55401 US
9bc7f6e1-e2a2-472b-a2e8-fb17893e02f6,2007-03-25,,999-89-8143,,,,Fidel864,Will178,,,,white,irish,M,Shakopee,741 Hirthe Approach Lino Lakes Minnesota 55014 US
ded1eec3-ea7b-481b-8558-1810fd34edc3,2002-08-19,,999-72-7714,,,,Giovanna377,Reynolds644,,,,white,polish,F,St. Paul,214 Bruen Green Apt 86 Bensonship Minnesota  US
1a66b05c-9b7f-4a85-b5a4-cba1bd341830,1991-02-19,,999-90-8472,S99965073,X50623748X,Mr.,Ivory697,Leuschke194,,,M,asian,chinese,M,Minneapolis,281 Hayes Highlands St. Paul Minnesota 55101 US
f222007b-dafc-48f5-801d-9827be116cc9,2002-10-14,,999-25-5789,,,,Scott935,Zemlak964,,,,white,english,M,St. Paul,371 Schultz Way Suite 39 Marshall Minnesota 56258 US
d15a4a57-d48e-4140-a16f-21f81901790e,1991-03-04,,999-95-5411,S99910742,X48097014X,Mrs.,Eulalia351,Beatty507,,Kunde533,M,white,irish,F,Golden Valley,134 Hyatt Lodge Suite 83 Arden Hills Minnesota 55112 US
a942ec47-f6f4-4797-93e2-b5e82b999d3f,1984-10-03,,999-91-3184,S99935213,X7178540X,Mrs.,Arleen939,Rippin620,,Ernser583,M,asian,chinese,F,Eden Prairie,424 Boehm Club St. Paul Minnesota 55101 US
4f3d7007-f30e-452f-984b-e7d98d19b364,1986-06-28,,999-52-8879,S99987546,X55907134X,Mr.,Ernie189,Rohan584,,,M,white,irish,M,Albertville,759 Tremblay Knoll Maplewood Minnesota 55106 US
eb72cf78-3269-4e39-90bc-c28c2a6bb194,1996-11-26,,999-30-1775,S99940323,X71730772X,Ms.,Mica978,Crona259,,,,white,english,F,Maple Grove,809 Wyman Center Minneapolis Minnesota 55401 US
